id,song_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,time_signature,type1,uri,track_href,analysis_url,class
6rvjus9JdQA1LAxv0s2ne5,Meravigliosa creatura,Il Volo,0.258,0.33,11,-5.086,1,0.0282,0.658,0.0,0.164,0.274,78.784,3.1492629840000004,4,audio_features,spotify:track:6rvjus9JdQA1LAxv0s2ne5,https://api.spotify.com/v1/tracks/6rvjus9JdQA1LAxv0s2ne5,https://api.spotify.com/v1/audio-analysis/6rvjus9JdQA1LAxv0s2ne5,yes
0VSgIfyTTH2rAxlLWwMmAd,La voce del silenzio,Il Volo,0.225,0.677,1,-4.33,0,0.0366,0.361,2.01e-06,0.0493,0.116,86.989,3.494086547,4,audio_features,spotify:track:0VSgIfyTTH2rAxlLWwMmAd,https://api.spotify.com/v1/tracks/0VSgIfyTTH2rAxlLWwMmAd,https://api.spotify.com/v1/audio-analysis/0VSgIfyTTH2rAxlLWwMmAd,yes
5Rj14suRfZJIpDFC1e8pMK,Be My Love,Il Volo,0.197,0.497,9,-4.18,0,0.0323,0.768,0.00203,0.139,0.199,81.642,2.989959798,3,audio_features,spotify:track:5Rj14suRfZJIpDFC1e8pMK,https://api.spotify.com/v1/tracks/5Rj14suRfZJIpDFC1e8pMK,https://api.spotify.com/v1/audio-analysis/5Rj14suRfZJIpDFC1e8pMK,yes
0snYZiZXXR0PqsuFta1Ydj,Lontano dagli occhi,Il Volo,0.19,0.668,10,-5.568,1,0.0409,0.264,0.00102,0.144,0.218,69.949,3.6368060680000003,3,audio_features,spotify:track:0snYZiZXXR0PqsuFta1Ydj,https://api.spotify.com/v1/tracks/0snYZiZXXR0PqsuFta1Ydj,https://api.spotify.com/v1/audio-analysis/0snYZiZXXR0PqsuFta1Ydj,yes
1EZCqCDu4Hd9fU1gbJcC1T,La nave del olvido,Il Volo,0.192,0.697,11,-3.567,0,0.0384,0.517,0.0,0.108,0.23,82.758,3.7044240870000005,5,audio_features,spotify:track:1EZCqCDu4Hd9fU1gbJcC1T,https://api.spotify.com/v1/tracks/1EZCqCDu4Hd9fU1gbJcC1T,https://api.spotify.com/v1/audio-analysis/1EZCqCDu4Hd9fU1gbJcC1T,yes
1TGfsS81JzRmU6CZLfBmEC,People,Il Volo,0.15,0.407,4,-5.253,0,0.0317,0.854,1.35e-05,0.195,0.117,169.51,3.7205244090000003,3,audio_features,spotify:track:1TGfsS81JzRmU6CZLfBmEC,https://api.spotify.com/v1/tracks/1TGfsS81JzRmU6CZLfBmEC,https://api.spotify.com/v1/audio-analysis/1TGfsS81JzRmU6CZLfBmEC,yes
01Kt1sE3ba2LEgb9NTOxs8,Fino a quando fa bene,Il Volo,0.39,0.738,1,-5.754,1,0.0756,0.095,0.0,0.25,0.0955,179.968,3.3886344380000004,4,audio_features,spotify:track:01Kt1sE3ba2LEgb9NTOxs8,https://api.spotify.com/v1/tracks/01Kt1sE3ba2LEgb9NTOxs8,https://api.spotify.com/v1/audio-analysis/01Kt1sE3ba2LEgb9NTOxs8,yes
3zX26vtXy3tRbbKPEQTaTD,A chi mi dice,Il Volo,0.306,0.606,7,-4.681,1,0.03,0.0876,0.0,0.146,0.166,159.848,3.662339912,3,audio_features,spotify:track:3zX26vtXy3tRbbKPEQTaTD,https://api.spotify.com/v1/tracks/3zX26vtXy3tRbbKPEQTaTD,https://api.spotify.com/v1/audio-analysis/3zX26vtXy3tRbbKPEQTaTD,yes
6CVgpxOvLa9rjsrj0Tu1a3,Arrivederci Roma,Il Volo,0.216,0.505,10,-5.628,1,0.0301,0.472,1.55e-05,0.137,0.229,98.591,2.554084414,4,audio_features,spotify:track:6CVgpxOvLa9rjsrj0Tu1a3,https://api.spotify.com/v1/tracks/6CVgpxOvLa9rjsrj0Tu1a3,https://api.spotify.com/v1/audio-analysis/6CVgpxOvLa9rjsrj0Tu1a3,yes
26gyTdfOnw7yUIemeXWaGu,Vicinissimo,Il Volo,0.453,0.721,4,-5.326,1,0.0611,0.134,0.0,0.338,0.2,139.897,3.255798448,4,audio_features,spotify:track:26gyTdfOnw7yUIemeXWaGu,https://api.spotify.com/v1/tracks/26gyTdfOnw7yUIemeXWaGu,https://api.spotify.com/v1/audio-analysis/26gyTdfOnw7yUIemeXWaGu,yes
